"V1" "V2"
"752" "Sphaerochaeta" 3
"797" "Runella" 3
"800" "Gracilibacillus" 3
"839" "Nitrosococcus" 3
"846" "Methylomicrobium" 3
"847" "Methanotorris" 3
"856" "Salinispora" 3
"885" "Desulfurococcus" 3
"913" "Massilia" 3
"936" "Hippea" 3
"962" "Pelobacter" 3
"981" "Erysipelothrix" 3
"1001" "Salinibacter" 3
"1010" "Fervidobacterium" 3
"1012" "Nonlabens" 3
"1014" "Methanocella" 3
"1020" "Pelosinus" 3
"1059" "Roseomonas" 3
"1070" "Sulfurihydrogenibium" 3
"1087" "Olsenella" 3
"1093" "Halanaerobium" 3
"1106" "Endozoicomonas" 3
"1150" "Dokdonia" 3
"1157" "Methylobacter" 3
"1159" "Rahnella" 3
"1175" "Dehalobacter" 3
"1238" "Rhodopirellula" 3
"1248" "Peptostreptococcus" 3
"1267" "Sphingopyxis" 3
"1317" "Saccharopolyspora" 3
"1352" "Kurthia" 3
"3" "Nakamurella" 2
"10" "Hydrogenophaga" 2
"11" "Methanoregula" 2
"21" "Oligella" 2
"38" "Lachnoanaerobaculum" 2
"44" "Synergistes" 2
"60" "Methanolobus" 2
"61" "Rubellimicrobium" 2
"63" "Polaribacter" 2
"65" "Aminobacterium" 2
"79" "Actinokineospora" 2
"80" "Octadecabacter" 2
"101" "Amphibacillus" 2
"110" "Cystobacter" 2
"119" "Muricauda" 2
"120" "Cyclobacterium" 2
"127" "Segniliparus" 2
"134" "Barnesiella" 2
"136" "Ilumatobacter" 2
"138" "Vulcanisaeta" 2
"149" "Thermocrispum" 2
"160" "Oxalobacter" 2
"181" "Thermoproteus" 2
"187" "Dictyoglomus" 2
"189" "Methanothermococcus" 2
"193" "Spiribacter" 2
"194" "Alishewanella" 2
"195" "Microvirga" 2
"200" "Microbulbifer" 2
"216" "Agromyces" 2
"228" "Chromobacterium" 2
"238" "Pleomorphomonas" 2
"239" "Serinicoccus" 2
"240" "Alicycliphilus" 2
"241" "Pseudanabaena" 2
"243" "Thiobacillus" 2
"244" "Trueperella" 2
"256" "Megamonas" 2
"257" "Dietzia" 2
"261" "Neorhizobium" 2
"274" "Micavibrio" 2
"279" "Pseudoxanthomonas" 2
"282" "Kocuria" 2
"289" "Lyngbya" 2
"298" "Terriglobus" 2
"309" "Jonquetella" 2
"314" "Cytophaga" 2
"318" "Alloscardovia" 2
"333" "Formosa" 2
"336" "Gloeocapsa" 2
"338" "Ensifer" 2
"340" "Anoxybacillus" 2
"355" "Natrialba" 2
"362" "Lewinella" 2
"380" "Tannerella" 2
"381" "Thermofilum" 2
"388" "Desulfococcus" 2
"411" "Dechloromonas" 2
"415" "Thermosynechococcus" 2
"416" "Azorhizobium" 2
"424" "Solimonas" 2
"438" "Scardovia" 2
"452" "Nonomuraea" 2
"456" "Roseiflexus" 2
"461" "Winogradskyella" 2
"476" "Zobellia" 2
"489" "Salinimicrobium" 2
"507" "Methylovorus" 2
"508" "Oceanospirillum" 2
"511" "Advenella" 2
"513" "Nevskia" 2
"519" "Methanoculleus" 2
"523" "Methanothermobacter" 2
"534" "Enterovibrio" 2
"536" "Parachlamydia" 2
"553" "Oscillatoria" 2
"558" "Conchiformibius" 2
"564" "Colwellia" 2
"565" "Haladaptatus" 2
"568" "Thermodesulfatator" 2
"572" "Haloquadratum" 2
"573" "Erythrobacter" 2
"575" "Orientia" 2
"580" "Leptolyngbya" 2
"583" "Hahella" 2
"584" "Subdoligranulum" 2
"586" "Beijerinckia" 2
"596" "Kinetoplastibacterium" 2
"597" "Scytonema" 2
"602" "Thermodesulfovibrio" 2
"623" "Polynucleobacter" 2
"628" "Gramella" 2
"631" "Pusillimonas" 2
"635" "Oscillibacter" 2
"658" "Pseudovibrio" 2
"671" "Coprothermobacter" 2
"672" "Sulfurovum" 2
"681" "Asaia" 2
"683" "Methylacidiphilum" 2
"684" "Tepidanaerobacter" 2
"694" "Ketogulonicigenium" 2
"698" "Elizabethkingia" 2
"716" "Brochothrix" 2
"723" "Sodalis" 2
"729" "Oceanimonas" 2
"731" "Cardiobacterium" 2
"735" "Rhodoferax" 2
"738" "Methanocorpusculum" 2
"743" "Natronomonas" 2
"757" "Sporosarcina" 2
"758" "Sulfobacillus" 2
"761" "Lawsonia" 2
"775" "Roseivivax" 2
"783" "Glycomyces" 2
"791" "Thermaerobacter" 2
"795" "Parascardovia" 2
"801" "Kribbella" 2
"803" "Tenacibaculum" 2
"809" "Richelia" 2
"817" "Niabella" 2
"818" "Nitrobacter" 2
"821" "Thioclava" 2
"824" "Melissococcus" 2
"834" "Tropheryma" 2
"841" "Magnetospirillum" 2
"843" "Thiomonas" 2
"844" "Thermanaerovibrio" 2
"850" "Cyanobium" 2
"868" "Parvularcula" 2
"874" "Holospora" 2
"881" "Rathayibacter" 2
"887" "Leptospirillum" 2
"898" "Halothece" 2
"900" "Luteimonas" 2
"906" "Micrococcus" 2
"911" "Alloprevotella" 2
"917" "Paraprevotella" 2
"928" "Dermacoccus" 2
"933" "Kaistia" 2
"935" "Methylosarcina" 2
"940" "Haloterrigena" 2
"944" "Acidocella" 2
"948" "Leisingera" 2
"950" "Thermosipho" 2
"964" "Gillisia" 2
"972" "Acetobacterium" 2
"979" "Mesoflavibacter" 2
"980" "Echinicola" 2
"982" "Methylocapsa" 2
"987" "Delftia" 2
"988" "Collimonas" 2
"994" "Enterorhabdus" 2
"1002" "Actinotignum" 2
"1009" "Cycloclasticus" 2
"1011" "Rubrobacter" 2
"1018" "Chitinilyticum" 2
"1028" "Microcoleus" 2
"1057" "Pseudogulbenkiania" 2
"1071" "Anaerobaculum" 2
"1072" "Thermoplasma" 2
"1075" "Granulicatella" 2
"1104" "Dethiosulfovibrio" 2
"1113" "Verminephrobacter" 2
"1122" "Desulfomicrobium" 2
"1130" "Thermocrinis" 2
"1132" "Streptosporangium" 2
"1133" "Dorea" 2
"1135" "Methylobacillus" 2
"1153" "Halogeometricum" 2
"1154" "Oceanicaulis" 2
"1155" "Aciduliprofundum" 2
"1172" "Methylotenera" 2
"1180" "Rhodothermus" 2
"1181" "Sorangium" 2
"1198" "Fischerella" 2
"1206" "Oligotropha" 2
"1214" "Tetragenococcus" 2
"1219" "Bergeyella" 2
"1222" "Nesterenkonia" 2
"1231" "Marinospirillum" 2
"1232" "Wigglesworthia" 2
"1239" "Beggiatoa" 2
"1247" "Aequorivita" 2
"1250" "Odoribacter" 2
"1251" "Salinisphaera" 2
"1259" "Staphylothermus" 2
"1265" "Nitrosospira" 2
"1268" "Cyanobacterium" 2
"1273" "Citreicella" 2
"1274" "Celeribacter" 2
"1278" "Aneurinibacillus" 2
"1284" "Actibacterium" 2
"1287" "Thioalkalimicrobium" 2
"1294" "Helcococcus" 2
"1297" "Turicibacter" 2
"1298" "Bilophila" 2
"1301" "Saccharothrix" 2
"1302" "Saccharibacillus" 2
"1309" "Acaryochloris" 2
"1314" "Citromicrobium" 2
"1329" "Martelella" 2
"1333" "Jonesia" 2
"1334" "Butyricimonas" 2
"1340" "Aeropyrum" 2
"1346" "Gloeobacter" 2
"1359" "Labrenzia" 2
"1361" "Calothrix" 2
"1364" "Aliivibrio" 2
"1367" "Hirschia" 2
"4" "Hafnia" 1
"6" "Leucothrix" 1
"7" "Balneatrix" 1
"8" "Ferroglobus" 1
"9" "Hydrogenovibrio" 1
"13" "Singulisphaera" 1
"14" "Thermobispora" 1
"15" "Pelodictyon" 1
"17" "Alkanindiges" 1
"19" "Methanolacinia" 1
"20" "Gallibacterium" 1
"24" "Ureibacillus" 1
"25" "Proteiniphilum" 1
"26" "Thiorhodovibrio" 1
"27" "Rudaea" 1
"28" "Actinobaculum" 1
"29" "Halonatronum" 1
"32" "Bermanella" 1
"33" "Granulibacter" 1
"36" "Chitinimonas" 1
"37" "Hyalangium" 1
"39" "Corallococcus" 1
"40" "Pirellula" 1
"41" "Wohlfahrtiimonas" 1
"42" "Methermicoccus" 1
"46" "Desulfurispora" 1
"47" "Mogibacterium" 1
"48" "Sandarakinorhabdus" 1
"51" "Tatlockia" 1
"52" "Actinospica" 1
"53" "Desulfatirhabdium" 1
"54" "Allofustis" 1
"56" "Saccharicrinis" 1
"57" "Cellulosimicrobium" 1
"58" "Hydrocarboniphaga" 1
"64" "Halothermothrix" 1
"66" "Desulfocapsa" 1
"67" "Acetohalobium" 1
"68" "Alcaligenes" 1
"69" "Psychroserpens" 1
"70" "Nitratiruptor" 1
"72" "Nisaea" 1
"73" "Methanoplanus" 1
"75" "Butyricicoccus" 1
"76" "Ruminiclostridium" 1
"78" "Tatumella" 1
"81" "Ottowia" 1
"82" "Cetobacterium" 1
"84" "Chelonobacter" 1
"86" "Syntrophobacter" 1
"89" "Sebaldella" 1
"92" "Crinalium" 1
"93" "Desulfotalea" 1
"94" "Kordia" 1
"95" "Amorphus" 1
"96" "Oceanibaculum" 1
"97" "Filifactor" 1
"98" "Fulvimarina" 1
"99" "Uliginosibacterium" 1
"100" "Yokenella" 1
"104" "Xylanimonas" 1
"106" "Ignicoccus" 1
"108" "Laribacter" 1
"111" "Rhodomicrobium" 1
"112" "Hyperthermus" 1
"114" "Rhodovibrio" 1
"116" "Stigmatella" 1
"117" "Aquifex" 1
"118" "Lacticigenium" 1
"122" "Pleurocapsa" 1
"125" "Parasutterella" 1
"126" "Demetria" 1
"128" "Thermobifida" 1
"129" "Lysinimicrobium" 1
"130" "Macrococcus" 1
"131" "Fervidicoccus" 1
"133" "Niastella" 1
"137" "Thalassobacillus" 1
"139" "Frischella" 1
"140" "Caldanaerobacter" 1
"141" "Arenitalea" 1
"143" "Beutenbergia" 1
"145" "Paludibacterium" 1
"146" "Dehalogenimonas" 1
"147" "Geopsychrobacter" 1
"150" "Hungatella" 1
"151" "Shimazuella" 1
"152" "Holdemanella" 1
"154" "Desulfobacterium" 1
"157" "Jiangella" 1
"159" "Akkermansia" 1
"161" "Leadbetterella" 1
"163" "Belliella" 1
"165" "Sedimentitalea" 1
"166" "Ectothiorhodospira" 1
