Super-Pathways	ARO-PWY;PWY-6404;PWY-5071;PWY-5096;PWY-7402;PWY-6126;PWY-6590;PWY-5179;GLCMANNANAUT-PWY;PWY-3621;PWY-7124;PWY-7020;PWY-7283;PROPFERM-PWY;THISYN-PWY;PWY-5114;PWY-7228;PWY0-1325;PWY-6353;PWY-6569;PWY-7616;PWY-6385;PWY-7596;PWY-5004;PWY-7208;KETOGLUCONMET-PWY;FUC-RHAMCAT-PWY;PWY0-845;PWY-7245;PWY-5053;ERGOSTEROL-SYN-PWY;PWY4LZ-257;PWY-6628;PWY-5850;PWY-5130;P542-PWY;PHOSLIPSYN-PWY;POLYAMSYN-PWY;PWY0-1305;PWY-3481;PWY-7149;PWY-6595;PWY-7341;PWY-5181;PWY-6443;GLYCOLYSIS-E-D;ENTBACSYN-PWY;PWY-6371;PWY-821;URSIN-PWY;PWY-5266;PWY0-1297;PWY-5052;PWY-5044;PWY-6432;PWY-7287;PWY-7494;PWY-5313;PWY-6594;PRPP-PWY;PWY-6415;PANTOSYN-PWY;PWY0-1061;PWY-6956;4AMINOBUTMETAB-PWY;PWY-6632;PWY-6579;PWY-6263;PWY-7622;PWY-7609;PWY-4242;PWY-7328;PWY-5345;PWY-5424;ARGDEGRAD-PWY;PWY-5062;PWY-6895;PWY-5459;ACETATEUTIL-PWY;LPSSYN-PWY;PWY66-4;PWY-5294;PWY-5898;CAROTENOID-PWY;SER-GLYSYN-PWY;PWY-5899;PWY-7373;PWY-4821;GOLPDLCAT-PWY;PWY-6676;PWY-5433;GLUDEG-I-PWY;PWY-5464;PWY-6145;PWY-5134;PWY-5088;PWY-6621;PWY-4762;PWY-5864;PWY-7528;PWY-7401;PWY-5478;PWY-6196;PWY-6071;PWY-7000;ASPASN-PWY;PWY-5647;PWY-7003;PWY-5430;PWY-7110;PWY-7345;PWY-2055;PWY-6141;PWY0-1277;TRYPTOPHAN-DEGRADATION-1;POLYISOPRENSYN-PWY;TCA-GLYOX-BYPASS;PWY-4221;PWY-5417;PWY-5634;PWY-5257;PWY-7323;PWY0-781;PWY-5415;PWY-5178;PWY-6374;PWY-5328;PWY-6176;PWY-5897;PWY-6629;NAD-BIOSYNTHESIS-II;PWY-5676;PWY-5347;PWY-5183;P441-PWY;PWY-6947;ALLANTOINDEG-PWY;PWY-6277;PWY-4041;PWY-6975;SUCSYN-PWY;PWY-1882;PWY-5918;PWY-6963;PWY-6517;PWY66-5;PWY-5431;PWY-7237;PWY-6662;PWY-5840;PWY-6293;P4-PWY;PWY-5961;PWY-5420;OANTIGEN-PWY;PWY-5335;PWY-2541;PWY-2504;PWY-6977;PWY-5005;HSERMETANA-PWY;PWY-6049;PWY-5600;PWY-5910;PWY-841;PWY4FS-7;ARGSYN-PWY;PWY-7194;PWY-5529;PWY-6962;PWY-6940;PWY-5327;PWY-7379;PWY-5360;PWY-7389;PWY-6604;PWY-7305;P381-PWY;SULFATE-CYS-PWY;MET-SAM-PWY;PWY-7169;PWY-6887;PWY-6784;PWY-6309;PWY-7332;PWY-1782;PWY-7196;P142-PWY;FASYN-INITIAL-PWY;PWY-1701;ANAEROFRUCAT-PWY;PWY-6954;PWY-5173;PWY-5304;UBISYN-PWY;GLUDEG-II-PWY;PWY-6981;PWY-5310;PWY-7186;PWY-5862;PENTOSE-P-PWY;PWY-6395;GLUCUROCAT-PWY;P461-PWY;PWY-7050;PHOTOALL-PWY;PWY-6564;PWY-5312;PWY-724;PWY-4161;PWY-6544;GLYCINE-SYN2-PWY;PWY-5717;PWY-5694;PWY-6886;PWY-7527;PWY-5180;PWY-6612;PWY-7715;PWY-7476;PWY-5308;PWY-6165;PWY-5265;P41-PWY;PWY-5156;PWY-6928;PWY-6270;GLYCOLYSIS-TCA-GLYOX-BYPASS;PWY0-1415;PWY-5993;PWY-7200;PWY0-381;PWY-6751;ORNDEG-PWY;PWY-5485;BRANCHED-CHAIN-AA-SYN-PWY;BIOTIN-BIOSYNTHESIS-PWY;BENZCOA-PWY;PWY-6142;PWY-7392;PWY-5863;PWY66-341;PWY-6565;PWY-5121;PWY-5184;PWY-6072;PWY-6467;PWY66-3;METSYN-PWY;PWY-7270;PWY-7731;PWY-6266;PWY-5861;PWY-7411;PWY-6402;PWY-6446;PWY-6113;PWY-6146;PWY-2229;PWY-5823;PWY0-881;PWY-5903;PWY2OL-4;KDO-NAGLIPASYN-PWY;PWY-5942;PWY-7211;PWY-5655;PWY-6471;PWY-7082;DETOX1-PWY-1;FOLSYN-PWY;PWY-6234;P281-PWY;PWY-5537;PWY-7342;PWY-5182;METHGLYUT-PWY;PWY-5505;PWY-6182;SO4ASSIM-PWY;PWY-6339;PWY-7592;PWY-7024;PWY-7156;PWY-13;PWY0-166;PWY-3097;PWY-7277;PWY3O-1109;PWY-6350;PWY-6358;PWY-6555;PWY-5100;PEPTIDOGLYCANSYN-PWY;THISYNARA-PWY;ARGDEG-PWY;PWY-3502;COLANSYN-PWY;PWY0-162;GLUCARGALACTSUPER-PWY;PWY-5483;P344-PWY;PWY-5991;PWY-7384;PWY-5306;PWY-6285;POLYAMINSYN3-PWY;PWY-7209;ARG+POLYAMINE-SYN;NADSYN-PWY;PWY-7235;PWY-6957;PWY-7084;PWY-6470;PWY-5405;PWY-7393;PWY-6284;PWY-6516;PWY-5538;PWY-5507;PWY-1541;PWY66-409;PWY-5920;PWY-5896;PWY-6503;PWY-7537;URDEGR-PWY;PWY-7575;PWY-5724;PWY-7218;PWY-6125;PHOSLIPSYN2-PWY;PWY-6641;PWY-7438;P165-PWY;GALACT-GLUCUROCAT-PWY;PWY-5416;PWY-7021;PWY-6396;PWY-6292;PWY-5705;PWY-7229;COMPLETE-ARO-PWY;THREOCAT-PWY;PWY-6571;PWY-561;DENOVOPURINE2-PWY;ECASYN-PWY;PWY-7514;ARGORNPROST-PWY;GLYCOL-GLYOXDEG-PWY;PWY-6901;PWY0-1298;PWY-5273;PWY-3282;PWY-5845;THRESYN-PWY;PWY-6338;PWY-5838;PWY-7709;PWY-6830;PWY-5692;PWY4FS-5;PWY-3001;PWY4FS-8;P125-PWY;HEXITOLDEGSUPER-PWY;PWY-6897;PWY-7509;AMMASSIM-PWY;PWY-6630;PWY-6151;ALL-CHORISMATE-PWY;PWY-6505;PWY0-41;PWY-6937;PWY-5860;PWY-7317;ORNARGDEG-PWY
Purine-Nucleotides-Salvage	SALVPURINE2-PWY;PWY66-409;PWY-7224
Adenosine-Nucleotides-Degradation	SALVADEHYPOX-PWY;PWY-6617;PWY-5532;PWY-6596
Dichlorotoluene-Degradation	PWY-6192;PWY-6191;PWY-6190
ASPARTATE-DEG	MALATE-ASPARTATE-SHUTTLE-PWY;ASPARTATE-DEG1-PWY
Benzoate-Degradation	PWY-5430;PWY-283;PWY-2503
Aminopropanol-Phosphate-Biosynthesis	PWY-7378;PWY-5443
GLUTAMATE-DEG	PWY0-1305;PWY-4321;GLUTAMATE-DEG1-PWY;GLUDEG-I-PWY;PWY-5088;GLUDEG-II-PWY;GLUTDEG-PWY;PWY-5766;P162-PWY;PWY-5087
Gentisate-Degradation	PWY-7469;PWY-6223
Guanine-Guanosine-Salvage	PWY-6579;PWY-6599;PWY-6620;PWY-6618
